Crash Number,City Town Name,Crash Date,Crash Severity,Crash Status,Crash Time,Crash Year,Max Injury Severity Reported,Number of Vehicles,Police Agency Type,State Police Troop,Age of Driver - Youngest Known,Age of Driver - Oldest Known,Age of Vulnerable User - Youngest Known,Age of Vulnerable User - Oldest Known,Crash Hour,Driver Contributing Circumstances (All Drivers),Driver Distracted By (All Vehicles),First Harmful Event,Is Geocoded,Light Conditions,Manner of Collision,MassDOT District,Vulnerable User Action (All Persons),Vulnerable User Location (All Persons),Vulnerable User Type (All Persons),RMV Document Numbers,Road Surface Condition,Roadway Junction Type,RPA Abbreviation,Total Fatalities,Total Non-Fatal Injuries,Traffic Control Device Type,Trafficway Description,Vehicle Actions Prior to Crash (All Vehicles),Vehicle Configuration (All Vehicles),Vehicle Emergency Use (All Vehicles),Vehicle Towed From Scene (All Vehicles),Vehicle Travel Directions (All Vehicles),Weather Conditions,County Name,Crash Report IDs,FMCSA Reportable (All Vehicles),FMCSA Reportable (Crash),First Harmful Event Location,Geocoding Method,Hit and Run,Locality,Most Harmful Event (All Vehicles),Road Contributing Circumstance,School Bus Related,Speed Limit,Traffic Control Device Function,Vehicle Sequence of Events (All Vehicles),Work Zone Related,Vulnerable User Sequence of Events (All Persons),Vulnerable User Distracted By (All Persons),Vulnerable User Traffic Control Type (All persons),Vulnerable User Origin Destination (All Persons),Vulnerable User Contributing Circumstances (All Persons),Vulnerable User Alcohol Suspected Type (All Persons),Vulnerable User Drug Suspected Type (All Persons),X,Y,Latitude,Longitude,Street Number,Roadway,Near Intersection Roadway,Distance and Direction From Intersection,Milemarker,Milemarker Route,Distance and Direction From Milemarker,Exit Number,Exit Route,Distance and Direction From Exit,Landmark,Distance and Direction From Landmark,AADT-linked RD,AADT Year-linked RD,Peak % Single Unit Trucks-linked RD,Single-Unit Truck and Bus AADT-linked RD,Peak % Combo Trucks-linked RD,Combination Truck AADT-linked RD,Curb-linked RD-linked RD,Jurisdiction-linked RD,Truck Route-linked RD,Left Sidewalk Width-linked RD,Right Sidewalk Width-linked RD,Left Shoulder Width-linked RD,Left Shoulder Type-linked RD,Surface Width-linked RD,Surface Type-linked RD,Right Shoulder Width-linked RD,Right Shoulder Type-linked RD,Number of Travel Lanes-linked RD,Number of Opposing Travel Lanes-linked RD,Median Width-linked RD,Median Type-linked RD,Urban Type-linked RD,Functional Classification-linked RD,Urbanized Area-linked RD,Federal Aid Route Number-linked RD,Facility Type-linked RD,Street Operation-linked RD,Access Control-linked RD,Number of Peak Hour Lanes-linked RD,Speed Limit-linked RD,Street Name-linked RD,From Street Name-linked RD,To Street Name-linked RD,City-linked RD-linked RD,Structural Condition-linked RD,Terrain-linked RD,Urban Location Type-linked RD,AADT Derivation-linked RD,AADT Station Number-linked RD,Opposing Direction Speed Limit-linked RD,Undivided Left Shoulder Type-linked RD,Undivided Left Shoulder Width-linked RD,Truck Exclusion Type-linked RD,Truck Exclusion Time-linked RD,Federal Functional Classification-linked RD
"4919670","TYNGSBOROUGH","01/02/2021","Non-fatal injury","Open","8:16 AM","2021","Suspected Minor Injury (B)","2","Local police","","35-44","75-84","","","08:00AM to 08:59AM","D1: (No improper driving)  / D2: (Driving too fast for conditions) ","D1: Not Distracted / D2: Not Distracted","Collision with motor vehicle in traffic","Yes","Daylight","Head-on","4","","",""," PW202101800206 / PW202108300925","Snow","Not at junction","NMCOG","0","1","No controls","Two-way, not divided","V1: Travelling straight ahead / V2: Travelling straight ahead","V1:(Passenger car) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(Yes, vehicle or trailer disabled) / V2:(Yes, vehicle or trailer disabled)","V1: N  / V2: S","Sleet, hail (freezing rain or drizzle)","MIDDLESEX"," 21-1-AC","","","Roadway","Off Intersection","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","Road surface condition (wet, icy, snow, slush, etc.)","No, school bus not involved","35","Not reported"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","204083.70320000","935422.43820000","42.66937447","-71.45018455",""," DUNSTABLE RD"," CUMMINGS ROAD","","","","","","","","SOLAR FARM","","4043","2018","0.219","102","0.261","30","None","City or Town accepted road","","0","0","0","No Shoulder","20","Surface-treated road","0","No Shoulder","2","0","0","None","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","1","35","DUNSTABLE ROAD","DUNSTABLE TOWN LINE","WESTFORD TOWN LINE","TYNGSBOROUGH","Deficient","Level Terrain","","MassDOT Highway Special Count","","35","0","0","","","Minor Arterial"
"4919671","TYNGSBOROUGH","01/03/2021","Property damage only (none injured)","Open","6:01 PM","2021","No Apparent Injury (O)","2","Local police","","25-34","25-34","","","06:00PM to 06:59PM","D1: (No improper driving) ","D1: Not Distracted","Collision with motor vehicle in traffic","Yes","Dark - lighted roadway","Rear-end","4","","",""," PW202101800207 / PW202108300859","Dry","T-intersection","NMCOG","0","0","Traffic control signal","Two-way, divided, unprotected median","V1: Slowing or stopped in traffic / V2: Not reported","V1:(Passenger car)","V1:(No)","V1:(No)","V1: E  / V2: Not Reported","Clear","MIDDLESEX"," 21-2-AC","","","Roadway","Operator Designated","Yes, hit and run","","V1:(Collision with motor vehicle in traffic)","None","No, school bus not involved","30","Yes, device functioning"," V1:(Collision with motor vehicle in traffic)","No","","","","","","","","206703.74774260","936134.94187901","42.67577024","-71.41821536",""," FROST ROAD / CHRONOPOULOS WAY","","","","","","","","","","","12625","2018","0.477","442","0.068","101","None","Massachusetts Department of Transportation","","0","0","0","No Shoulder","24","Bituminous concrete road","2","Hardened bituminous mix or penetration","2","0","3","Raised Median","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","1","45","PAWTUCKET BOULEVARD","KENDALL ROAD","PAWTUCKET BOULEVARD ","TYNGSBOROUGH","Good","Level Terrain","","MassDOT Highway Special Count","","45","Surfaced shoulder exists – Portland Cement Concrete surface (PCC","2","","","Minor Arterial"
"4919672","TYNGSBOROUGH","01/05/2021","Property damage only (none injured)","Open","8:56 AM","2021","No Apparent Injury (O)","2","Local police","","18-20","45-54","","","08:00AM to 08:59AM","D1: (Driving too fast for conditions),(Failure to keep in proper lane or running off road)  / D2: (No improper driving) ","D1: Not Distracted / D2: Not Distracted","Collision with motor vehicle in traffic","Yes","Daylight","Front to Front","4","","",""," PW202101800107 / PW202108301001","Wet","T-intersection","NMCOG","0","0","Stop signs","Two-way, not divided","V1: Turning right / V2: Slowing or stopped in traffic","V1:(Passenger car) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(No) / V2:(Yes, vehicle or trailer disabled)","V1: E  / V2: E","Clear","MIDDLESEX"," 21-4-AC","","","Roadway","Off Intersection","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","None","No, school bus not involved","35","Yes, device functioning"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","204458.45330000","936860.56310000","42.68231842","-71.44560193",""," KENDALL RD"," CUMMINGS RD","","","","","","","","","","13180","2018","0.33","514","0.105","145","None","Massachusetts Department of Transportation","","0","0","0","No Shoulder","24","Bituminous concrete road","2","Hardened bituminous mix or penetration","2","0","0","None","Large Urbanized Area","Rural minor arterial or urban principal arterial","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","","35","KENDALL ROAD","PAWTUCKET BOULEVARD","","TYNGSBOROUGH","Fair","Level Terrain","","MassDOT Highway Special Count","","35","Surfaced shoulder exists – Portland Cement Concrete surface (PCC","2","","","Principal Arterial - Other"
"4919673","TYNGSBOROUGH","01/05/2021","Property damage only (none injured)","Open","2:35 PM","2021","No Apparent Injury (O)","2","Local police","","16-17","21-24","","","02:00PM to 02:59PM","D1: (Distracted)  / D2: (Failed to yield right of way) ","D1: Manually operating an electronic device / D2: Not Distracted","Collision with motor vehicle in traffic","Yes","Daylight","Front to Front","4","","",""," PW202101800108 / PW202108300934","Wet","T-intersection","NMCOG","0","0","Stop signs","Two-way, not divided","V1: Travelling straight ahead / V2: Turning left","V1:(Passenger car) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(No) / V2:(No)","V1: W  / V2: S","Clear/Snow","MIDDLESEX"," 21-5-AC","","","Roadway","Off Intersection","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","None","No, school bus not involved","35","Yes, device functioning"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","201973.21870000","932080.12520000","42.63929496","-71.47594100",""," SCRIBNER RD"," GROTON RD","","","","","","","","","","1621","2018","0.477","40","0.068","4","None","City or Town accepted road","","0","0","0","No Shoulder","40","Surface-treated road","2","Stable - Unruttable compacted subgrade","2","0","0","None","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","","30","SCRIBNER ROAD","","SCRIBNER ROAD","TYNGSBOROUGH","Deficient","Level Terrain","","MassDOT Highway Special Count","","30","0","0","","","Minor Arterial"
"4919674","TYNGSBOROUGH","01/07/2021","Property damage only (none injured)","Open","2:22 PM","2021","No Apparent Injury (O)","2","Local police","","75-84","75-84","","","02:00PM to 02:59PM","D1: (Failed to yield right of way)  / D2: (No improper driving) ","D1: Not Distracted","Collision with motor vehicle in traffic","Yes","Daylight","Angle","4","","",""," PW202101800208 / PW202108300935","Dry","Not at junction","NMCOG","0","0","No controls","Two-way, not divided","V1: Turning left / V2: Travelling straight ahead","V1:(Passenger car) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(No) / V2:(No)","V1: W  / V2: N","Clear","MIDDLESEX"," 21-6-AC","","","Roadway","Operator Designated","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","None","No, school bus not involved","40","No, device not functioning"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","207040.28869199","935273.05139797","42.66800851","-71.41412020","2"," TECHNOLOGY DR"," OLD TYNG ROAD","100 feet N  of","","","","","","","TECHNOLOGY DR","300 feet S  of","22469","2018","0.412","1063","0.07","137","None","Massachusetts Department of Transportation","","0","0","0","No Shoulder","24","Bituminous concrete road","2","Hardened bituminous mix or penetration","2","0","0","None","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","2","45","MIDDLESEX ROAD","NEW HAMPSHIRE STATE LINE","CHELMSFORD TOWN LINE","TYNGSBOROUGH","Fair","Level Terrain","","MassDOT Highway Special Count","","45","Surfaced shoulder exists – Portland Cement Concrete surface (PCC","2","","","Minor Arterial"
"4919737","TYNGSBOROUGH","01/01/2021","Non-fatal injury","Open","10:28 PM","2021","Suspected Minor Injury (B)","1","State police","A","35-44","35-44","","","10:00PM to 10:59PM","D1: (Exceeded authorized speed limit) ","D1: Not Distracted","Collision with guardrail","Yes","Dark - roadway not lighted","Single vehicle crash","4","","",""," PW202101800248","Snow","Not at junction","NMCOG","0","1","No controls","Two-way, divided, positive median barrier","V1: Travelling straight ahead","V1:(Passenger car)","V1:(No)","V1:(Yes, vehicle or trailer disabled)","V1: S","Snow","MIDDLESEX"," 2021-0A1-000023","","","Roadway","Exit Number","No hit and run","","V1:(Collision with guardrail)","Road surface condition (wet, icy, snow, slush, etc.)","No, school bus not involved","55","No, device not functioning"," V1:(Collision with guardrail)","No","","","","","","","","205593.20820000","934683.34620000","42.66271173","-71.43177792",""," Rte 3 S","","","","","","34","3","","","","88519","2014","0.017","1597","0.079","649","None","Massachusetts Department of Transportation","","0","0","10","Hardened bituminous mix or penetration","36","Bituminous concrete road","10","Hardened bituminous mix or penetration","3","3","54","Depressed Median","Large Urbanized Area","Rural or urban principal arterial","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","Full Access Control","3","55","ROUTE 3","","NEW HAMPSHIRE STATE LINE","TYNGSBOROUGH","Good","Level Terrain","","Derived from count data that is three or more years old","4129","0","0","0","","","Principal Arterial - Other Freeways or Expressways"
"4924577","TYNGSBOROUGH","01/22/2021","Property damage only (none injured)","Open","7:11 AM","2021","No Apparent Injury (O)","2","State police","A","35-44","55-64","","","07:00AM to 07:59AM","D1: (No improper driving)  / D2: (Exceeded authorized speed limit) ","D1: Not Distracted / D2: Not Distracted","Collision with motor vehicle in traffic","Yes","Daylight","Rear-end","4","","",""," PW202103200420","Dry","Not at junction","NMCOG","0","0","No controls","Two-way, divided, positive median barrier","V1: Travelling straight ahead / V2: Travelling straight ahead","V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(No) / V2:(Yes, vehicle or trailer disabled)","V1: N  / V2: N","Cloudy","MIDDLESEX"," 2021-0A1-000661","","","Roadway","Exit Number","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","None","No, school bus not involved","55","Not reported"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","204423.47965752","938202.00743093","42.69439426","-71.44601829",""," Rte 3 N","","","","","","36","3","","","","83816","2018","0.212","2766","0.356","2683","None","Massachusetts Department of Transportation","","0","0","10","Hardened bituminous mix or penetration","36","Bituminous concrete road","10","Hardened bituminous mix or penetration","3","3","54","Depressed Median","Large Urbanized Area","Rural or urban principal arterial","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","Full Access Control","3","55","ROUTE 3","","NEW HAMPSHIRE STATE LINE","TYNGSBOROUGH","Good","Level Terrain","","MassDOT Highway Special Count","","0","0","0","","","Principal Arterial - Other Freeways or Expressways"
"4924581","TYNGSBOROUGH","01/23/2021","Non-fatal injury","Open","10:22 PM","2021","Suspected Minor Injury (B)","2","State police","A","35-44","35-44","","","10:00PM to 10:59PM","D1: (No improper driving)  / D2: (Followed too closely) ","D1: Not Distracted","Collision with motor vehicle in traffic","Yes","Dark - roadway not lighted","Rear-end","4","","",""," PW202103200426","Dry","Not at junction","NMCOG","0","1","No controls","Two-way, divided, positive median barrier","V1: Travelling straight ahead / V2: Changing lanes","V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(Yes, other reason not disabled) / V2:(Yes, other reason not disabled)","V1: S  / V2: S","Clear","MIDDLESEX"," 2021-0A1-000708","","","Roadway","Exit Number","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","None","No, school bus not involved","55","Not reported"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","205593.20820000","934683.34620000","42.66271173","-71.43177792",""," Rte 3 S","","","","","","34","3","","","","88519","2014","0.017","1597","0.079","649","None","Massachusetts Department of Transportation","","0","0","10","Hardened bituminous mix or penetration","36","Bituminous concrete road","10","Hardened bituminous mix or penetration","3","3","54","Depressed Median","Large Urbanized Area","Rural or urban principal arterial","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","Full Access Control","3","55","ROUTE 3","","NEW HAMPSHIRE STATE LINE","TYNGSBOROUGH","Good","Level Terrain","","Derived from count data that is three or more years old","4129","0","0","0","","","Principal Arterial - Other Freeways or Expressways"
"4924584","TYNGSBOROUGH","01/21/2021","Non-fatal injury","Open","3:13 PM","2021","Possible Injury (C)","2","State police","A","21-24","21-24","","","03:00PM to 03:59PM","D1: (Inattention)  / D2: (No improper driving) ","D2: Not Distracted","Collision with motor vehicle in traffic","Yes","Daylight","Rear-end","4","","",""," PW202103200429","Dry","T-intersection","NMCOG","0","1","Stop signs","One-way, not divided","V1: Travelling straight ahead / V2: Slowing or stopped in traffic","V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility))","V1:(No) / V2:(No)","V1:(Yes, vehicle or trailer disabled) / V2:(No)","V1: E  / V2: E","Clear","MIDDLESEX"," 2021-0A1-000772","","","Roadway","Operator Designated","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","None","No, school bus not involved","30","Yes, device functioning"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","206005.35009937","934416.27107157","42.66030443","-71.42675370",""," RAMP-RT 3 NB TO WESTFORD RD"," WESTFORD ROAD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","","One-way traffic","","","","RAMP-RT 3 NB TO WESTFORD RD","ROUTE 3","WESTFORD ROAD","TYNGSBOROUGH","","","","","","","","","","","Minor Arterial"
"4925378","TYNGSBOROUGH","01/20/2021","Property damage only (none injured)","Open","5:16 AM","2021","No Apparent Injury (O)","1","State police","A","21-24","21-24","","","05:00AM to 05:59AM","D1: (No improper driving) ","D1: Not Distracted","Collision with animal - deer","Yes","Dark - roadway not lighted","Single vehicle crash","4","","",""," PW202103300503","Dry","Not at junction","NMCOG","0","0","No controls","Two-way, divided, positive median barrier","V1: Travelling straight ahead","V1:(Passenger car)","V1:(No)","V1:(Yes, vehicle or trailer disabled)","V1: S","Clear","MIDDLESEX"," 2021-0A1-000593","","","Roadway","Exit Number","No hit and run","","V1:(Collision with animal - deer)","None","No, school bus not involved","55","Not reported"," V1:(Collision with animal - other)","No","","","","","","","","205593.20820000","934683.34620000","42.66271173","-71.43177792",""," Rte 3 S","","","","","","34","3","","","","88519","2014","0.017","1597","0.079","649","None","Massachusetts Department of Transportation","","0","0","10","Hardened bituminous mix or penetration","36","Bituminous concrete road","10","Hardened bituminous mix or penetration","3","3","54","Depressed Median","Large Urbanized Area","Rural or urban principal arterial","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","Full Access Control","3","55","ROUTE 3","","NEW HAMPSHIRE STATE LINE","TYNGSBOROUGH","Good","Level Terrain","","Derived from count data that is three or more years old","4129","0","0","0","","","Principal Arterial - Other Freeways or Expressways"
